,c1,t1,c2,c3,c4,c5,c6,t2,t3,t4,t5,t6
Gm8682,0,0,0,0,0,0,0,0,0,0,0,0
Gm8684,0,0,0,0,0,0,0,0,0,0,0,0
Gm8685,0,0,0,0,0,0,0,0,0,0,0,0
Gm8686,0,0,0,0,0,0,0,0,0,0,0,0
Gm8688,14,28,39,14,72,50,26,56,72,44,86,88
Gm8689,0,0,0,0,0,0,0,0,0,0,0,0
Gm8692,0,0,0,0,1.0007,0,0,0,0,1.00104,0,0
Gm8696,0,0,0,0,0,0,1.00409,0,0,1.01231,0,0
Gm8697,0,0,0,0,0,0,0,0,0,0,0,0
Gm8700,1,0,0,0,1,2,0,0,1,1,0,1
Gm8701,0,0,0,0,0,0,0,0,0,0,0,0
Gm8702,0,0,0,0,0,0,0,0,0,0,0,1
Gm8703,0,0,1,0,0,0,0,0,0,0,0,0
Gm8704,0,0,0,0,0,0,0,0,1,0.5,0,0
Gm8705,0,0,0,0,2,0,0,0,1,1,0,0
Gm8706,0,0,0,0,0,0,0,0,0,0,0,0
Gm8707,0,0,0,0,0,0,0,0,0,0,0,0
Gm8708,0,0,0,0,0,0,0,0,0,0,0,0
Gm8709,0,0,0,0,0,0,0,0,0,0,0,0
Gm8711,0,0,0,0,0,0,0,0,0,0,0,0
Gm8712,0,0,0,0,0,0,0,0,0,0,0,0
Gm8714,0,0,0,0,0,0,0,0,0,0,0,0
Gm8715,0,0,1,0,0,0,0,0,1,0,0,0
Gm8717,0,0,0,0,0,1.00152,0,0,0,0,0,0
Gm8719,0,0,1.2043,0,0,0,0,0.700698,1.56702,1.26755,0,4.20291
Gm8722,0,0,0,0,0,0,0,0,0,0,0,0
Gm8723,0,0,0,0,0,0,0,0,0,0,0,0
Gm8724,0,0,0,0,0,0,0,0,0,0,0,0
Gm8725,0,0,0,0,1,0,0,0,0,0,0,0
Gm8728,0,0,0,0,0,0,0,0,0,0,0,0
Gm8730,2.11443,2.04362,4.14077,5.15716,4.36989,2.93405,2.06878,1.02427,0,1.0247,2.57336,3.10295
Gm8731,0,0,0,0,0,0,0,0,0,0,1.00032,0
Gm8734,0,0,0,0,0,0,0,0,0,0,0,0
Gm8737,0,0,0,0,0,0,0,0,0,0,0,0
Gm8738,1,5,1,4,1,4.04663,2,7,6,4.03796,5,2
Gm8739,0,0,0,0,0,0,0,0,0,0,0,0
Gm8741,0,4.00344,0,2.29584,2.34254,0,0,0,0,1.79784,0,0
Gm8744,0,0,1,0,0,0,0,0,0,0,0,0
Gm8745,0,0,0,0,0,0,0,0,0,0,0,0
Gm8747,0,0,0,0,0,0,0,0,0,0,0,0
Gm8748,0,0,0,0,0,0,0,0,0,0,0,0
Gm8749,0,0,0,0,0,0,0,0,0,0,0,0
Gm8750,0,0,0,0,0,0,0,0,0,0,0,1.00558
Gm8752,0,0,0,0,0,0,0,0,0,0,0,0
Gm8754,0,0,0,0,0,0,0,0,0,0,0,0
Gm8755,0,0,0,0,0,0,0,0,0,0,0,0
Gm8756,1.00059,1.00082,2.00249,0,3.00508,7.01395,4.00529,2.00275,2.00191,1.00103,5.01157,1.0022
Gm8757,0,0,0,0,0,0,0,0,0,0,0,0
Gm8761,0,0,0,0,0,0,0,0,0,0,0,0
Gm8764,0,0,0,0,0,0,0,0,0,0,0,0
Gm8765,0,0,0,0,0,0,0,0,0,0,0,0
Gm8767,0,0,0,0,0,0,0,0,0,0,0,0
Gm8768,0,0,0,0,0,0,0,0,0,0,1.00009,0
Gm8770,0,0,0,0,0,0,0,0,0,0,0,0
Gm8773,3,3,3,2,0,1,3,4,0,0,2,3
Gm8774,0,0,2.00704,0,0,0,1,0,0,0,0,0
Gm8775,0,0,0,0,0,0,0,1.11242,0,0,0,0
Gm8778,0,1,1,0,0,0,0,0,0,0,0,0
Gm8783,0,0,0,0,0,0,0,0,0,0,0,0
Gm8784,1.00168,0,1.00054,0,0,0,0,0,0,0,0,0
Gm8785,0,0,0,0,0,0,0,0,0,0,0,0
Gm8790,0,0,0,0,0,0,0,0,0,0,0,0
Gm8793,0,0,0,0,0,0,0,0,0,0,0,0
Gm8795,0,0,0,0,0,0,0,0,1,1,2,0
Gm8796,0,0,0,0,0,0,1.00031,0,0,0,0,0
Gm8797,6.12179,1.15323,3.68792,3.75696,2.45544,7.74035,2.40297,0,1.17967,2.26416,5.21544,1.30699
Gm8798,0,1.70843,1.26943,0,1.46863,1.69901,0,1.34339,0,0,1.79416,3.76271
Gm8801,0,0,0,0,1,0,0,0,0,0,0,0
Gm8802,0,0,0,0,0,0,0,0,0,0,0,0
Gm8804,0,0,0,0,0,0,0,0,0,0,0,0
Gm8805,0,0,0,1,0,0,0,0,0,0,0,0
Gm8806,0,1.00838,1.00488,0,0,1.01069,0,0,0,0,0,2.01902
Gm8807,0,0,1.0003,0,0,0,0,0,0,0,0,0
Gm8809,0,0,2,2,0,0,0,0,0,1,0,0
Gm8810,0,0,0,0,0,0,0,0,0,0,0,0
Gm8812,0,0,0,0,0,0,0,0,0,0,0,0
Gm8813,2,0,1.09113,0,1.08461,0,1,0,0,0,0,0
Gm8814,0,0,0,0,0,0,0,0,0,0,0,0
Gm8815,1.00399,0,2.00251,0,3.04745,1.00432,1.00026,0,0,0,1.02164,2.00729
Gm8816,0,0,0,0,0,0,0,0,0,0,0,0
Gm8817,0,0,0,0,0,0,0,0,0,0,0,1
Gm8818,0,0,0,0,0,0,0,0,0,0,0,0
Gm8820,0,0,0,0,0,0,0,0,0,0,0,0
Gm8823,0,0,0,0,0,0,0,0,0,0,0,0
Gm8824,0,0,0,0,1.00002,0,0,0,0,0,1.0001,1.00009
Gm8825,0,0,0,0,0,0,0,0,0,0,1.00662,0
Gm8826,0,0,0,0,0,0,0,0,0,0,0,0
Gm8828,0,0,0,0,0,0,0,0,0,0,0,0
Gm8832,0,0,0,0,0,0,0,0,0,0,0,0
Gm8834,1.0698,0,0,2.09953,0,0,0,0,1.04543,0,8.41044,2.09447
Gm8835,0,3,0,0,1.00009,0,1,0,3.00031,0,0,0
Gm8836,0,0,0,0,0,0,0,0,0,0,0,1
Gm8837,0,0,0,0,0,0,0,0,0,0,0,0
Gm8838,0,0,0,0,0,0,0,0,0,0,0,0
Gm8839,0,1,1.00601,1,1,0,1.03326,0,0,1.04924,1.00561,0
Gm884,0,0,0,0,0,0,0,0,0,0,0,1
Gm8840,0,0,0,0,0,0,0,0,0,0,0,0
Gm8843,0,0,0,0,0,0,0,0,0,0,0,0
Gm8844,0,0,0,0,2.00097,0,3.00987,0,1.00044,1.00087,0,0
Gm8847,4.11739,5,3,7,3,1,0,2,1.00185,1,1.31183,2
Gm8848,0,0,0,0,0,0,0,0,0,0,0,0
Gm8849,0,0,0,0,1.00286,0,0,0,0,0,0,0
Gm8850,2,0,0,2,1,0,0,0,0,0,0,0
Gm8853,0,0,0,0,0,0,0,0,0,0,0,0
Gm8855,0,0,0,0,0,0,0,0,0,0,0,0
Gm8856,0,0,0,0,0,0,0,0,0,0,0,0
Gm8857,0,0,1,0,0,0,0,0,0,0,0,0
Gm8858,0,0,0,0,0,1.00012,0,0,0,0,1,0
Gm8860,0,0,0,0,0,0,0,0,0,0,0,0
Gm8861,0,0,0,0,0,0,0,0,0,0,0,0
Gm8862,0,0,0,0,0,0,1,0,0,0,1,1
Gm8863,0,0,0,0,0,0,0,0,0,0,0,0
Gm8864,1.26432,0,0,0,0,1.00024,0,0,0,0,1.00028,1.00033
Gm8865,0,0,0,0,0,0,0,0,0,0,0,0
Gm8868,0,0,0,0,0,0,0,0,0,0,0,0
Gm8869,0,0,0,0,0,0,0,0,0,0,0,0
Gm8870,0,0,0,0,0,2.00027,0,0,0,0,2.00039,0
Gm8871,0,0,0,0,0,0,0,0,0,0,0,0
Gm8872,0,0,0,0,0,0,0,0,0,0,0,0
Gm8873,0,1,1.00005,0,1.03668,0,1.02427,0,0,0,0,0
Gm8874,0,0,0,0,0.295502,0,0,0,0,0,0,0
Gm8876,0,0,0,0,0,0,0,0,0,0,0,1
Gm8877,0,0,0,0,0,0,0,0,0,0,0,0
Gm8878,0,0,0,0,0,0,0,0,0,0,0,0
Gm8879,0,0,0,0,0,0,0,0,0,0,0,0
Gm8880,0,0,1.02395,0,2.05763,1.0331,0,0,0,0,0,0
Gm8881,0,0,0,0,0,0,0,0,0,0,0,0
Gm8882,0,0,0,0,0,0,0,0,0,0,0,0
